,claimReview_claimReviewed,rating_ratingValue,creativeWork_author_name,creativeWork_datePublished,claimReview_author_name,claimReview_datePublished,claimReview_url,extra_body
1,A message on behalf of Supreme Court of India about shutting down the 9 PSU Banks in India gone viral on social media. Finance secretary also took the viral message to twitter after which RBI releases a statement calling it Fake.,False,"Whats app , Twitter , Facebook",2019-09-25T00:00:00Z,BBC,2019-09-26T00:00:00Z,https://www.bbc.com/hindi/social-49832065,नौ बैंक बंद होने की अफ़वाह आपने भी सुनी? :फ़ैक्ट चेक
2,A video of people protesting against the PM Modi gone viral on social media with the claim that a protest has been done in US ahead of the Howdy Modi Event in Texas. We found out that the video is edited and fake and was created by adding the clips of some older protest videos against Modi.,False and Misleading,"Facebook , Whatsapp . Twitter",2019-09-23T00:00:00Z,BBC,2019-09-25T00:00:00Z,https://www.bbc.com/hindi/india-49827705,अमरीका: पीएम मोदी के विरोध का फ़र्ज़ी वीडियो
3,"Congress's Shashi tharoor tweets an old pic of Jawha lal nehru and Indira Gandhi claiming it from a visit to US. However , we found out that the viral pic is taken from the Nehru and Indira's visit to USSR. Later Mr. Tharoor accepted the mistake in an another tweet.",False,"Twitter , Facebook",2019-09-23T00:00:00Z,BBC,2019-09-24T00:00:00Z,https://www.bbc.com/hindi/india-49808148,इंदिरा गांधी और नेहरू की वायरल तस्वीर का सच
4,A video of an Ambulance carried an injured baby stuck in to the traffic went viral on social media with claim that the traffic got stopped because for the convenience of BJP leader Manoj tiwari. We found that the video is old and being shared with wrong context. The video has not related to BJP leader Manoj Tiwari.,False,"Facebook, Twitter , Whatsapp",2019-09-16T00:00:00Z,BBC,2019-09-19T00:00:00Z,https://www.bbc.com/hindi/india-49752223,BJP नेता के लिए एंबुलेंस रोके रखने की सच्चाई
5,A message gone viral with claim that one of PM Modi's cloth worth of Rs 500 has been auctioned at Rs 11 crore. we found the viral message is false and misleading.,False,"Facebook , Twitter , WhatApp",2019-09-16T00:00:00Z,BBC,2019-09-17T00:00:00Z,https://www.bbc.com/hindi/india-49731881,मोदी का 500 वाला गमछा 11 करोड़ में बिका?
6,"A video of police beating a guy went viral with claim that police beaten the guy because he didn't let the police to check his vehicle under new Traffic rules in country,. We found that the video is real but shared with the wrong the context. The incident has nothing to do with the Traffic rules or vehicle checking.","False, Misleading","Facebook, Twitter , whats App",2019-09-12T00:00:00Z,BBC,2019-09-14T00:00:00Z,https://www.bbc.com/hindi/india-49692204,चालान के लिए यूपी पुलिस के मारपीट करने का सच
7,A movie poster named The Sky is pink went viral with the claim that Actress Zaira wasim who quit the film Industry earlier on religious ground had made a comeback. We found that the claims of actress joining back the industry are false and misleading.,False and Misleading,Twitter . Facebook and WhatsApp,2019-09-12T00:00:00Z,BBC,2019-09-13T00:00:00Z,https://www.bbc.com/hindi/entertainment-49678386,ज़ायरा वसीम की फ़िल्म इंडस्ट्री में वापसी का सच
8,Union finance minister Nirmala Sitharaman statement holding '' Millennials ''as one of the reason for slow down in auto sector gone viral. We crossed check the facts and found that her statement was not so relevant and true.,False and Misleading,"Facebook . twitter , whatsapp",2019-09-11T00:00:00Z,BBC,2019-09-12T00:00:00Z,https://www.bbc.com/hindi/vert-aut-49675143,"OLA, UBER पर सही बोलीं निर्मला सीतारमण?"
9,A picture went viral claiming it to be the 1st picture of vikram lander sent by Chandryaan - 2 orbiter. We found that the viral picture is from NASA's mission Apollo - 16.,False and Misleading,"Twitter, Facebook , Whats app",2019-09-09T00:00:00Z,BBC,2019-09-10T00:00:00Z,https://www.bbc.com/hindi/science-49637079,इसरो के ‘विक्रम लैंडर’ की वायरल तस्वीर का सच
10,A video gone viral showing the double standards of PM Modi of consoling the ISRO chief K sivan after Chandryaan-2 Mission. We found that the video is real but shared with wrong context.,Misleading,"Facebook, Twitter , WhatsApp",2019-09-08T00:00:00Z,BBC,2019-09-09T00:00:00Z,https://www.bbc.com/hindi/india-49631689,के सिवन को क्या कैमरा देखकर पीएम मोदी ने दी थी सांत्वना?
11,A group of incidents of people beating by the mob in suspect of the child lifting had taken place across the country. we found that most of the incidents were misleading and no incidents reported with the police of child lifting.,"Misleading , False","Whats App , Facebook , Twitter",2019-08-26T00:00:00Z,BBC,2019-09-05T00:00:00Z,https://www.bbc.com/hindi/india-49591570,"बच्चा चोरी की अफ़वाहें, फ़ेक वीडियो, 'मारो-मारो' का शोर और होती मौतें.."
12,A graphic picture of a young girl shared by Pakistan Information ministry as a victim of atrocities in Indian administered Kashmir after revocation of article 370.We found that the picture is of the kathua rape victim and is from Jammu region of Indian administered Kashmir.,Misleading,"Information Ministry of Pakistan . Facebook , Twitter",2019-09-02T00:00:00Z,BBC,2019-09-02T00:00:00Z,https://www.bbc.com/hindi/india-49554150,कश्मीर पर पाक ने ट्वीट की कठुआ पीड़िता की फ़ोटो
13,A set of picture of some injured kids going viral with claim that after the abrogation of Article 370 from Indian Administered Kashmir 42 people have been injured because of pellet guns. we found the viral pictures are old and misleading.,Misleading,"Twitter,Facebook and Whats app",2019-08-27T00:00:00Z,BBC,2019-08-30T00:00:00Z,https://www.bbc.com/hindi/india-49526469,क्या 370 हटाये जाने के बाद की है ये तस्वीर?
14,A video is going viral on social media with claims that a Muslim boy beaten to death by a religious fanatic crowd in Mob lynching. We found that the viral video is real but is being shared out of context. It wasn't an accident related to any mob lynching.,Misleading,"Facebook , Twitter , Whats app",2019-08-28T00:00:00Z,BBC,2019-08-29T00:00:00Z,https://www.bbc.com/hindi/india-49508491,दिल्ली में ‘मॉब लिचिंग’ की घटना का पूरा सच
15,A post with message went viral on the social media claiming that the Indian currency Rupee becomes weaker than Bangladesh currency Taka . We found the viral message false and misleading.,False and Misleading,"Facebook, Twitter , Whatsapp",2019-08-26T00:00:00Z,BBC,2019-08-27T00:00:00Z,https://www.bbc.com/hindi/india-49484600,भारतीय रुपया क्या बांग्लादेशी टका से भी पिछड़ा?
16,"A set of pictures and videos was being shared in Pakistan's Social media as the Atrocities in Indian Administered Kashmir. We found that the pictures and video are old , fake and misleading in respect to the Kashmir issue.",False,"Twitter, Facebook, Whats app",2019-08-20T00:00:00Z,BBC,2019-08-22T00:00:00Z,https://www.bbc.com/hindi/india-49425584,कश्मीर के नाम पर पाक में वायरल फ़र्ज़ी ‘ख़बरें’
17,"A Video of Pakistan PM Imran Khan frustrating on the media in a press conference gone viral with claim of Pakistan PM loses his cool on media after India Revokes Article 370 from the Indian Administered Kashmir.
We found that the video is old and edited and being spread with wrong context.",False and Misleading,"Facebook, Twitter , Whats app",2018-08-18T00:00:00Z,BBC,2019-08-19T00:00:00Z,https://www.bbc.com/hindi/india-49395394,क्या अनुच्छेद -370 पर पत्रकारों से भिड़े इमरान ख़ान?
18,"A set of picture of Indian pop singer Hard Kaur gone viral on social media with claim of being beaten up by Modi Supporters after she abuses PM Modi and Home minister Amit shah on twitter. We found that However, the pictures are real but of an old incident.",False,"Facebook , Twitter , Whats app",2019-08-14T00:00:00Z,BBC,2019-08-16T00:00:00Z,https://www.bbc.com/hindi/india-49364041,हार्ड कौर पर 'मोदी-भक्त' के हमला करने का सच
